latitude,longitude,idp_population
10.7477,13.2193,960
10.7417,13.2198,786
10.69363,13.26958,1674
10.72975,13.12569,294
10.7332,13.12469,126
10.45303,13.20628,1440
10.455296,13.213241,1008
10.45964,13.22197,984
10.49691,13.12204,558
10.52615,13.12949,306
10.52557,13.13041,552
10.64804,12.90746,420
10.64814,12.90757,420
11.259,14.13969,23910
11.25804,14.15381,35111
11.52226,13.69902,417
11.512545,13.688889,312
11.49978,13.70249,976
11.52205,13.69659,737
11.50535,13.68579,109776
10.62269,11.73514,24
10.35058,11.61224,44
10.37071,11.66054,24
10.5594301,11.631103,38
10.32273,11.58668,3
10.25032,11.69933,13
10.22301,11.62221,23
10.44356,11.70516,41
10.38255,11.69377,47
10.66854,11.80925,34
10.68131,11.79264,26
10.91835,12.08762,1376
10.90695,12.08901,3054
10.78128,11.94219,1883
10.78668,11.85262,614
10.625075,12.175978,9891
10.621252,12.166884,1250
10.610128,12.12409,272
10.605253,12.108539,416
10.624297,12.144602,486
10.76693,12.02254,16
10.77918,12.01972,307
10.61394,12.192376,10925
10.618047,12.174888,2011
10.69768,12.33274,1308
10.733093,12.14781,4794
10.72761,12.14937,282
10.612528,12.197504,1678
10.598319,12.217912,1182
10.591561,12.207921,439
10.625694,12.187153,1763
10.617293,12.197492,1632
10.8671359,12.8401584,228
10.86762,12.84524,413
10.86889,12.84341,565
10.87254,12.84354,818
10.86703,12.84417,799
10.87077,12.84083,828
10.8807,12.92303,758
10.8779,12.92553,352
10.88723,12.90319,400
10.892563,12.918764,91
10.77409,12.87788,744
10.77664,12.87364,749
10.775547,12.873601,808
10.72804,12.88645,277
10.80709,12.87117,248
10.76833,12.7963,181
10.757724,12.815737,265
10.93149,12.76949,216
10.92005,12.77461,382
10.94705,12.77447,389
10.77694,12.94988,118
10.777218,12.916088,214
10.799626,12.916215,191
10.84914,12.7753,166
11.02772,12.70409,3234
11.04303,12.70417,4467
11.08311,12.68416,952
11.04656,12.64572,2394
11.17723,12.78599,385
11.15117,12.75504,6809
11.16223,12.75911,7873
11.17156,12.75989,19518
11.16193,12.76393,1688
11.14439,12.75932,1786
11.16636,12.75654,8167
11.16132,12.75653,4086
11.14815,12.75235,2918
11.16781,12.76223,4304
11.15373,12.76853,107
11.14656,12.75599,502
11.16283,12.7547,399
11.16447,12.75875,688
11.15796,12.75827,85
11.17004,12.70484,8133
11.16569,12.77527,2440
11.02295,12.79515,6294
11.05478,12.8196,6671
10.9992,12.78367,6703
11.15866,12.74846,187
11.14588,12.76624,2206
11.13735,12.74988,303
11.12105,12.17373,3440
11.12434,12.75379,452
11.12773,12.74337,317
11.09849,12.74725,274
11.03822,12.7569,794
11.04338,12.75216,1006
11.06233,12.75224,405
11.11003,12.75085,195
12.035292,13.917138,2435
12.037866,13.917886,1586
12.03934,13.90714,5195
12.036795,13.917202,4656
12.039738,13.922611,4101
12.030945,13.920738,2965
12.031746,13.923214,4458
12.038088,13.9209,3134
12.04486,13.90153,8329
12.043197,13.914353,3374
12.039345,13.904101,3149
12.036583,13.903243,6866
12.04379,13.91678,6822
12.029877,13.916949,5636
12.03095,13.92095,4393
12.04289,13.90183,11358
12.027395,13.921123,7545
12.03861,13.89954,12905
12.035505,13.905677,2616
12.043034,13.920241,4599
12.039693,13.924678,1140
12.02676,13.91968,445
12.49177,12.78145,1444
12.49633,12.78258,1606
12.49331,12.78305,1804
12.49228,12.78138,2349
12.49886,12.78406,1716
12.50028,12.78607,1457
12.49978,12.7798,1883
11.07889,13.69987,14490
11.08483,13.69697,8214
11.08471,13.70303,7728
11.08893,13.69086,17500
