latitude,longitude,event_dates
13.41287,13.796257,2020-01-09 00:00:00.000
12.989201,13.832239,2020-01-09 00:00:00.000
11.8826,13.3434,2020-01-09 00:00:00.000
12.989201,13.832239,2020-01-11 00:00:00.000
11.84685,12.9359,2020-01-15 00:00:00.000
10.91729,12.514962,2020-01-17 00:00:00.000
12.34151,14.187534,2020-01-18 00:00:00.000
12.897,11.9304,2020-01-19 00:00:00.000
11.83022,12.63067,2020-01-21 00:00:00.000
13.4814,13.483791,2020-01-24 00:00:00.000
12.374126,14.222062,2020-01-24 00:00:00.000
13.36901,12.78577,2020-01-25 00:00:00.000
11.64518,12.45165,2020-01-26 00:00:00.000
10.64697,12.91104,2020-01-31 00:00:00.000
12.230436,14.180893,2020-02-04 00:00:00.000
12.230436,14.180893,2020-02-05 00:00:00.000
11.199098,12.91491,2020-02-09 00:00:00.000
12.042099,13.068708,2020-02-10 00:00:00.000
12.252155,13.105596,2020-02-10 00:00:00.000
12.28295,14.47243,2020-02-10 00:00:00.000
12.1101,13.98946,2020-02-12 00:00:00.000
12.79305,14.12087,2020-02-16 00:00:00.000
12.36532,13.8293,2020-02-20 00:00:00.000
13.151034,13.964249,2020-02-21 00:00:00.000
12.96309,13.60899,2020-02-21 00:00:00.000
11.92543,13.60269,2020-02-21 00:00:00.000
10.41452,12.56634,2020-02-21 00:00:00.000
11.339916,13.796287,2020-02-22 00:00:00.000
13.09466,13.82343,2020-03-01 00:00:00.000
11.8826,13.3434,2020-03-03 00:00:00.000
12.49536,11.49977,2020-03-04 00:00:00.000
11.509016,14.130267,2020-03-04 00:00:00.000
11.15604,12.75758,2020-03-04 00:00:00.000
13.09466,13.82343,2020-03-04 00:00:00.000
13.09466,13.82343,2020-03-06 00:00:00.000
13.09165,12.6966,2020-03-07 00:00:00.000
13.151034,13.964249,2020-03-08 00:00:00.000
12.67777,12.75361,2020-03-11 00:00:00.000
12.96309,13.60899,2020-03-14 00:00:00.000
12.630817,13.962277,2020-03-20 00:00:00.000
11.5,13.0,2020-03-20 00:00:00.000
13.09466,13.82343,2020-03-20 00:00:00.000
11.37327,12.43266,2020-03-23 00:00:00.000
11.92589,13.23062,2020-03-23 00:00:00.000
12.13333,14.3,2020-03-25 00:00:00.000
11.83022,12.63067,2020-03-25 00:00:00.000
11.259902,12.351687,2020-03-26 00:00:00.000
11.37327,12.43266,2020-03-26 00:00:00.000
13.09969,12.1079,2020-03-27 00:00:00.000
13.489685,13.456828,2020-04-03 00:00:00.000
13.151034,13.964249,2020-04-06 00:00:00.000
13.489685,13.456828,2020-04-06 00:00:00.000
10.91729,12.514962,2020-04-06 00:00:00.000
12.37066,14.21731,2020-04-07 00:00:00.000
11.09826,12.76417,2020-04-09 00:00:00.000
13.41287,13.796257,2020-04-14 00:00:00.000
11.92589,13.23062,2020-04-14 00:00:00.000
11.5,13.0,2020-04-17 00:00:00.000
11.7593,12.2561,2020-04-17 00:00:00.000
11.15604,12.75758,2020-04-17 00:00:00.000
11.48451,12.31264,2020-04-17 00:00:00.000
11.20148,12.03125,2020-04-18 00:00:00.000
