lgs_names,status,latitude,longitude
Gombi,Open,10.323066,12.581797
Fufore,Open,9.303433,12.703635
Ganye,Open,8.511509,11.939164
Madagali,Open,10.739426,13.425313
Gombi,Open,10.215463,12.675567
Demsa,Open,9.307503,11.804694
Yola South,Open,9.185931,12.477925
Yola South,Open,9.227901,12.513398
Mayo-Belwa,Open,9.024096,11.835557
Hong,Open,10.37277,13.040782
Mayo-Belwa,Open,9.022451,11.995993
Mubi South,Open,10.189696,13.40497
Ganye,Open,8.505511,11.97875
Song,Open,9.81646,12.1751
Jada,Open,8.757945,12.358171
Michika,Open,10.645087,13.415207
Yola South,Open,9.300467,12.133939
Gombi,Open,10.334975,12.664586
Numan,Open,9.452574,12.030544
Guyuk,Open,9.854935,11.839006
Lamurde,Open,9.486785,11.536575
Song,Open,9.832677,12.613038
Fufore,Open,9.550909,12.847722
Guyuk,Open,9.913274,11.861592
Madagali,Open,10.799603,13.592439
Jada,Open,8.726138,12.542378
Shelleng,Open,9.978045,12.026916
Hong,Open,10.250817,13.016235
Fufore,Open,9.64321,12.862078
Jada,Open,8.518735,12.102345
Girei,Open,9.305456,12.471388
